Date,Lake,Lake Type,Water Temp,Water Temp Low ,Water Temp High ,Visibility,5 Fish Bag,Fish Caught,Fish Caught AM,Fish Caught PM,Fish over 3.5lbs,Hours Fished,AM Hours,PM Hours
2022-01-01,Eloika Lake,Natural,34,34,34,nan,0.5,1,0,1,0,4,0,4
2022-03-27,Eloika Lake,Natural,43,41,48,nan,0,0,0,0,0,5,4,1
2022-04-10,Eloika Lake,Natural,49,48,50,3,2,2,0,2,0,4,0,4
2022-04-17,Long Lake,Highland Reservior,45,42,46,3,0,0,0,0,0,9,3,6
2022-04-24,Long Lake,Highland Reservior,48,47,52,4,5,2,0,2,0,10,2,8
2022-05-10,Newman Lake,Natural,52,50.5,53,3,0,0,0,0,0,3,3,0
2022-05-14,Eloika Lake,Natural,55,54,56,2.5,8.5,13,0,13,0,8,1,7
2022-05-15,Eloika Lake,Natural,56,55,56.5,4,8.5,18,5,13,0,8,0,8
2022-05-17,Snake River,River,55,54,56,1.5,7.5,25,2,23,0,6,4,2
2022-05-18,Snake River,River,55.5,55,56,1.5,5,12,12,0,0,3,3,0
2022-05-26,Long Lake,Highland Reservior,53.5,52,55,4.5,2.25,1,1,0,0,3,3,0
2022-05-28,Long Lake,Highland Reservior,54,52.7,55.6,4,5.25,2,1,1,0,3,3,0
2022-05-30,Long Lake,Highland Reservior,55,53,55.9,2.5,12,10,8,2,1,6,6,0
2022-06-02,Long Lake,Highland Reservior,57,56.9,57.7,2.5,14,10,10,0,0,4,4,0
2022-06-04,Long Lake,Highland Reservior,59,58.5,60,nan,11.75,12,9,3,0,9,7,2
2022-06-07,Silver Lake,Natural ,66,64,69,4,5.25,2,0,2,,3,0,3
2022-06-11,Long Lake,Highland Reservior,57,56.4,58,1,0,0,0,0,0,4,2,2
2022-06-12,Loon Lake,Natural,64.5,64,65,7,12.25,30,30,0,1,7,7,0
2022-06-14,Liberty Lake,Natural,65,64,66,6,12.5,12,0,12,0,4,0,4
2022-06-17,Loon Lake,Natural,65,64,65,7,11.5,10,10,0,0,4,4,0
2022-06-19,Loon Lake,Natural,65,65,65,7,7.5,10,10,0,0,4,4,0
2022-06-20,Long Lake,Highland Reservior,57,56,57.5,2,12,30,20,10,2,8,6,2
2022-06-23,Long Lake,Highland Reservior,57.5,56.5,58,2,10,3,0,3,0,3.5,0,3.5
2022-06-29,Long Lake,Highland Reservior,57.5,56.5,58,3,17.13,25,25,0,2,4,4,0
2022-07-04,Sacheen Lake,Natural,61,60,62,6,13,5,5,0,2,4,4,0
2022-07-06,Sacheen Lake,Natural,64.5,64,65,5,2.5,5,0,5,0,3.5,0,3.5
2022-07-13,Newman Lake,Natural,64,62,65,3,3.5,3,3,0,0,3,3,0
2022-07-15,Newman Lake,Natural,65,63,66,4,7,3,3,0,0,3,3,0
2022-07-16,Newman Lake,Natural,65,63,66,4,10.55,10,9,1,1,8,7,1
2022-07-21,Long lake,Highland reservior,76,74.5,77.5,3,,10,10,0,0,4,4,0
2022-07-24,Bonnie Lake,Natural,79,78,80,3,14.65,9,8,1,1,8,7,1
2022-07-29,Long Lake,Highland Reservior,79,78,79.5,10,11.5,12,12,0,0,3,3,0
2022-07-31,Long Lake,Highland Reservior,78,78,78,10,12,18,18,0,0,5,5,0
2022-08-03,Long Lake,Highland Reservior,79,79,79,10,10,9,9,0,0,6,6,0
2022-08-04,Silver Lake,Natural,78,78,78,8,17.5,15,0,15,2,2.5,0,2.5
2022-08-05,Silver Lake,Natural,79,79,79,8,17,7,7,0,2,5,5,0
2022-08-06,Silver Lake,Natural,79,79,79,8,5,2,2,0,0,4,4,0
2022-08-07,Silver Lake,Natural,79,79,79,8,8,3,3,0,0,4,4,0
2022-08-09,Long Lake,Highland Reservior,79,78,80,9,7,7,7,0,0,6,6,0
2022-08-17,Eloika Lake,Natural,75,74,76,3,9.5,7,7,0,1,7,7,0
2022-08-22,Newman Lake,Natural,79,79,79,4,11.5,6,6,0,1,6,6,0
2022-08-23,Silver Lake,Natural,79,79,79,10,10.5,3,3,0,2,4,4,0
2022-08-25,Long Lake,Highland reservior,75,76,75,8,9,5,5,0,0,3.5,3.5,0
2022-08-26,Eloika Lake,Natural,79,78,80,3,10.5,5,5,0,2,7,7,0
2022-08-28,Silver Lake,Natural,78,77,80,10,15.5,7,7,0,1,6,6,0
2022-09-04,Pend Orielle River,Damned river,69,66,72,3,5,60,60,0,0,6,6,0
2022-09-10,Bonnie Lake,Natural,69,68,70,3,4,6,6,0,0,5.5,4,1.5
2022-09-11,Bonnie Lake,Natural,68,66,70,2,6.5,25,25,0,0,4,4,0
2022-09-18,Long Lake,Highland Reservior,66,63,67,8,7,15,15,0,0,4,4,0
2022-09-24,Silver Lake,Natural,66,67,66,8,13.5,4,0,4,2,2.5,0,2.5
2022-09-26,Long Lake,Highland Reservior,66,66,66,12,8.5,5,5,0,0,5,5,0
2022-10-07,Silver Lake,Natural,65,64,65,8,15,7,6,1,1,7,6,1
2022-10-09,Long Lake,Highland Reservior,64.5,64,65,6,12.5,10,8,2,0,4,3,1
2022-10-16,Dworshak Reservior,Highland Reservior,65,63,65,3,10.5,30,26,4,0,9,7,2
2022-10-17,Dworshak Reservior,Highland Reservior,64,63,64,3,9.5,15,15,0,0,3,3,0
2022-10-29,Eloika Lake,Natural,49,47,49,4,0,0,0,0,0,4,3,1
